song,singer,genre,album,userRating
Vele,"Shekhar Ravjiani, Vishal Dadlani",Dance,Student of the Year,9.5/10
440 Volt,Mika Singh,Dance,Sultan,8.9/10
Aapka Kya Hoga,"Arun Ingle, Mika Singh, Sajid Khan, Shankar Mahadevan, Sunidhi Chauhan",Dance,Housefull,9.1/10
Tere Ishq Mein Naachenge,"Alisha Chinai, Kumar Sanu, Sapna Mukharji",Dance,Raja Hindustani,8.7/10
Kisi Ki Muskurahaton Se,Mukesh,Dance,Anari,9.6/10
Bawara Mann,"Jubin Nautiyal, Neeti Mohan",Romantic,Jolly LLB 2,9.3/10
Tere Bina (Guru),"A.R. Rahman, Chinmaye, Murtuza Khan, Qadir Khan",Dance,Guru,9.6/10
Itna Sannata Kyun Hai,"Aditi Singh Sharma, Amit Mishra",Dance,Golmaal Again,8.7/10
Desi Look,Kanika Kapoor,Dance,Ek Paheli Leela,8.7/10
Chamakti Shaam Hai,"Alka Yagnik, Sonu Nigam",Dance,Yaadein,8.9/10
Sarsariya,"Shashaa Tirupati, Shashwat Singh",Romantic,Mohenjo Daro,9.2/10
Jag Soona Soona Lage,,Sad,Om Shanti Om,9.4/10
Kandhon Se Milte Hain Kandhe,"Hariharan, Kunal Ganjawala, Roop Kumar Rathod, Shankar Mahadevan, Sonu Nigam, Vijay Prakash",Patriotic,Lakshya,9.5/10
Deewangi Deewangi,"Rahul Saxena, Shaan, Shreya Ghoshal, Sunidhi Chauhan, Udit Narayan",Dance,Om Shanti Om,9.3/10
Tareefan Remix,Badshah,Dance,Veere Di Wedding,9.3/10
Samjhawan,"Arijit Singh, Shreya Ghoshal",Sad,Humpty Sharma Ki Dulhania,9.4/10
Bam Lahiri,Kailash Kher,Dance,Shor in the City,9.3/10
Chicken Kuk Doo Koo,"Mohit Chauhan, Palak Muchhal",Dance,Bajrangi Bhaijaan,8.9/10
Dhating Naach,"Nakash Aziz, Neha Kakkar",Dance,Phata Poster Nikhla Hero,9.2/10
Tu Itni Khoobsurat Hai,Rahat Fateh Ali Khan,Sad,Barkhaa,9.5/10
O Priya Priya,"Anuradha Paudwal, Shabbir Kumar",Sad,Dil,7.6/10
Manchala,"Nupur Pant, Shafqat Amanat Ali",Sad,Hasee Toh Phasee,9.6/10
Lukka Chuppi,"A.R. Rahman, Lata Mangeshkar",Sad,Rang De Basanti,9.7/10
Prem Leela,"Aaman Trikha, Vineet Singh",Dance,Prem Ratan Dhan Payo,8.0/10
Khuda Jaane,"K.K., Shilpa Rao",Romantic,Bachna Ae Haseeno,9.4/10
Premika,"Benny Dayal, Kanika Kapoor",Dance,Dilwale,9.5/10
Tera Mujhse Hai Pehle Ka Naata Koi,"Kishore Kumar, Sushma Shrestha",Romantic,Aa Gale Lag Jaa,9.2/10
Character Dheela,"Amrita Kak, Neeraj Shridhar",Dance,Ready,9.3/10
Munni Badnam Hui,"Aishwarya, Mamta Sharma",Dance,Dabangg,8.8/10
Saadda Haq,Mohit Chauhan,Dance,Rockstar,9.4/10
Rehnuma,"Inder Bawra, Shreya Ghoshal",RomanticSad,Rocky Handsome,9.5/10
Ilahi,Arijit Singh,Dance,Yeh Jawaani Hai Deewani,9.5/10
Neendein Khul Jaati Hain,"Kanika Kapoor, Meet Bros, Mika Singh",Dance,Hate Story 3,9.1/10
Phir Le Aya Dil,Shafqat Amanat Ali,Sad,Barfi,9.7/10
Main Yahaan Hoon,Udit Narayan,Dance,Veer Zaara,9.4/10
Soni Soni,"Ishaan, Jaspinder Narula, Manohar Shetty, Pritha Majumdar, Shweta Pandit, Sonali Bhatawdekar, Udbhav, Udit Narayan",Dance,Mohabbatein,9.1/10
Rocket Saiyyan,"Brijesh Shandilya, Ritu Pathak, Tanishk Baagchi",Dance,Shubh Mangal Saavdhan,8.9/10
Humko Humise Chura Lo,"Lata Mangeshkar, Udit Narayan",Romantic,Mohabbatein,9.1/10
Be Intehaan,"Atif Aslam, Sunidhi Chauhan",Romantic,Race 2,9.4/10
Subhanallah,"Shilpa Rao, Sreerama Chandra Mynampati",Romantic,Yeh Jawaani Hai Deewani,9.5/10
Dholna,"Lata Mangeshkar, Udit Narayan",Romantic,Dil To Pagal Hai,9.1/10
Koi Ishaara,Armaan Malik,RomanticSad,Force 2,9.6/10
Phir Bhi Dil Hai Hindustani,Udit Narayan,DancePatriotic,Phir Bhi Dil Hai Hindustani,9.0/10
Kore Kore Sapne,"Anuradha Paudwal, Kumar Sanu",Dance,Sooryavansham,8.5/10
Hale Dil,Harshit Saxena,Romantic,Murder 2,9.2/10
Aaoge Jab Tum,Rashid Khan,Sad,Jab We Met,9.3/10
Tinku Jiya,"Javed Ali, Mamta Sharma",Dance,Yamla Pagla Deewana,9.0/10
Lakshya – Title Track,Shankar Mahadevan,MotivationalPatriotic,Lakshya,9.6/10
Pretty Woman,"Ravi Khote, Shankar Mahadevan",Dance,Kal Ho Naa Ho,9.5/10
Silsila Ye Chaahat Ka,Shreya Ghoshal,Romantic,Devdas,9.4/10
Helicopter,"Neha Kakkar, Tony Kakkar",Dance,Ranchi Diaries,9.3/10
Kabhi Khushi Kabhie Gham,Lata Mangeshkar,Sad,Kabhi Khushi Kabhie Gham,9.2/10
Chak Lein De,Kailash Kher,Motivational,Chandni Chowk To China,9.3/10
Meri Aashiqui Ab Tum Hi Ho,"Arijit Singh, Palak Muchhal",RomanticSad,Aashiqui 2,9.5/10
Tere Dware Pe Aai Baraat,"Ravindra Jain, Sudesh Bhosle",Dance,Vivah,8.1/10
Badi Mushkil Hai,Abhijeet,Romance,Anjaam,9.2/10
Toh Dishoom,"Raftaar, Shahid Mallya",Dance,Dishoom,9.4/10
Kudiye Ni Tere,"Shivangi Bhayana, Udit Narayan",Romantic,Happy Phir Bhaag Jayegi,9.5/10
Hu Ba Hu,Amit Trivedi,Dance,Padman,9.4/10
Kitna Pagal Dil Hai,Kumar Sanu,Romantic,Andaaz,8.6/10
Sahiba Russ Gayiya,Rahat Fateh Ali Khan,Sad,Firangi,9.6/10
Mehfooz,Yasser Desai,RomanticSad,Tera Intezaar,9.2/10
Veerey Ki Wedding,Navraj Hans,Dance,Veerey Ki Wedding,9.2/10
Ek Pal Ka Jeena,Lucky Ali,Dance,Kaho Naa.... Pyaar Hai,9.2/10
Gori Tu Latth Maar,"Palak Muchhal, Sonu Nigam",Romantic,Toilet Ek Prem Katha,9.2/10
Tum Jo Mile,Armaan Malik,Romantic,Saansein,9.6/10
Saathiya Tune Kya Kiya,"K. S. Chithra, S.P. Balasubrahmanyam",Dance,Love,9.3/10
Humne Pee Rakhi Hai,"Ikka, Jaz Dhami, Neha Kakkar",Dance,Sanam Re,9.0/10
Bheegi Si Bhaagi Si,Mohit Chauhan,Romance,Raajneeti,9.6/10
Chura Liya Hai,Mohammed Rafi,Romantic,Yaadon Ki Barat,9.0/10
Right Now Now,"Sunidhi Chauhan, Suzanne D'Mello, Wajid",Dance,Housefull 2,9.2/10
Crazy Kiya Re,Sunidhi Chauhan,Dance,Dhoom 2,9.3/10
Ziddi Dil,Vishal Dadlani,Motivational,Mary Kom,9.4/10
Abhi Abhi,K.K.,RomanticSad,Jism 2,8.7/10
Bahara,"Shreya Ghoshal, Sona Mohapatra",Romantic,I Hate Luv Storys,9.6/10
Dekh Lena,"Arijit Singh, Tulsi Kumar",Romantic,Tum Bin 2,9.3/10
Tu Zaroori,"Sharib Sabri, Sunidhi Chauhan",Romantic,ZiD,9.3/10
Afeemi,"Jigar Saraiya, Sanah Moidutty",Romantic,Meri Pyaari Bindu,9.5/10
Salaam E Ishq,"Kunal Ganjawala, Sadhana Sargam, Shankar, Shreya Ghosal, Sonu Nigam",Dance,Salaam-E-Ishq,9.5/10
Naughty Billo,"Diljit Dosanjh, Nakash Aziz, Shilpi Paul",Dance,Phillauri,9.0/10
Behka,Vibha Saraf,Dance,High Jack,9.5/10
Pyar Ke Liye,Alka Yagnik,Romantic,Dil Kya Kare,9.2/10
Dil Na Diya,Kunal Ganjawala,Dance,Krrish,8.8/10
Sukoon Mila,Arijit Singh,Romantic,Mary Kom,9.6/10
Dil To Pagal Hai,"Lata Mangeshkar, Udit Narayan",Romantic,Dil To Pagal Hai,8.7/10
Do Anjaane Ajnabi,"Shreya Ghoshal, Udit Narayan",Romantic,Vivah,8.3/10
Tujh Mein Rab Dikhta Hai,Roop Kumar Rathod,Romantic,Rab Ne Bana Di Jodi,9.3/10
Palki Mein Hoke Sawar Chali Re,Alka Yagnik,Dance,Khal Nayak,8.4/10
Andekhi Anjaani,"Lata Mangeshkar, Udit Narayan",Romantic,Mujhse Dosti Karoge!,9.1/10
Dhinka Chika,"Amrita Kak, Mika Singh",Dance,Ready,8.3/10
Main Agar,Atif Aslam,Romantic,Tubelight,9.6/10
Kyon,"Papon, Sunidhi Chauhan",Romantic,Barfi,9.6/10
Tera Mera Milna,"Himesh Reshammiya, Shreya Ghoshal",Sad,Aap Kaa Surroor,8.9/10
Daayre,Arijit Singh,Romantic,Dilwale,9.5/10
Sahiba,"Pawni Pandey, Romy",Sad,Phillauri,9.5/10
Saajan Saajan,"Alka Yagnik, Kumar Sanu, Udit Narayan",DanceRomantic,Dil Ka Rishta,8.8/10
Aisa Des Hai Mera,"Gurdas Maan, Lata Mangeshkar, Preetha Mazumdar, Udit Narayan",Patriotic,Veer Zaara,9.0/10
Lost Without You,"Ami Mishra, Anushka Shahaney",Sad,Half Girlfriend,9.6/10
Dhal Jaun Main,"Aakanksha Sharma, Jubin Nautiyal",RomanticSad,Rustom,9.6/10
Badass Babuaa,"Abhishek Nailwal, Neha Bhasin, Sameer Uddin",Dance,Bareilly Ki Barfi,9.6/10
Aaj Kehna Zaroori Hai,"Alka Yagnik, Udit Narayan",Romantic,Andaaz,8.7/10
Ye Toh Sach Hai Ke Bhagwan,Hariharan,Dance,Hum Saath-Saath Hain,8.5/10
Dastaan-e-Om Shanti Om,Shaan,Dance,Om Shanti Om,9.5/10
Saanson Ke,K.K.,Sad,Raees,9.6/10
O Jiji,"Pamela Jain, Shreya Ghoshal",Dance,Vivah,8.2/10
Hug Me,"Kanika Kapoor, Raghav Sachar",Dance,Beiimaan Love,9.1/10
Halkat Jawani,Sunidhi Chauhan,Dance,Heroine,9.3/10
Ek Dil Hai,"Alka Yagnik, Kumar Sanu",Romantic,Ek Rishtaa,8.6/10
Confused Lover,"Aaniya, Mika Singh",Dance,Teri Bhabhi Hai Pagle,9.5/10
Tumse Milne Ki Tamanna Hai,S.P. Balasubrahmanyam,Dance,Saajan,9.1/10
Afsana,"Himesh Reshammiya, Tulsi Kumar",Dance,Dil Diya Hai,9.2/10
Naina,"Armaan Malik, Sona Mohapatra",RomanticSad,Khoobsurat,9.6/10
Naina,"Armaan Malik, Sona Mohapatra",Sad,Khoobsurat,9.6/10
Dil Mein Dard Sa Jaga Hai,"Alka Yagnik, Udit Narayan",Dance,Kranti,8.8/10
Anarkali Disco Chali,"Mamta Sharma, Sukhwinder Singh",Dance,Housefull 2,8.8/10
Jab Dil Miley,"Asha Bhosle, Udit Narayan",Dance,Yaadein,9.1/10
Humko Humise Chura Lo,"Lata Mangeshkar, Udit Narayan",Romantic,Mohabbatein,9.0/10
Make Some Noise For The Desi Boyz,"Bob, K.K.",Dance,Desi Boyz,9.3/10
Aga Bhai,Monali Thakur,Dance,Aiyyaa,9.1/10
Sehmi Hai Dhadkan,Atif Aslam,Sad,Daas Dev,9.7/10
Jawaani Le Doobi,"Kanika Kapoor, Uvie",Dance,Kyaa Kool Hain Hum 3,9.0/10
Humko Tumse Pyar Hai,Abhijeet,Dance,Ishq,9.1/10
Sadda Move,"Diljit Dosanjh, Pardeep Singh Sran",Dance,Raabta,9.2/10
Soniyo,"Neeraj Shridhar, Raju Singh, Shreya Ghoshal, Sonu Nigam",Romantic,Raaz,9.6/10
Kaun Nachdi,"Guru Randhawa, Neeti Mohan",Dance,Sonu Ke Titu Ki Sweety,9.4/10
Dhoom Machale,Sunidhi Chauhan,DanceRomantic,Dhoom,9.0/10
Door Na Ja,Sonu Nigam,Sad,Mitron,9.7/10
Ishq Shava,"Raghav Mathur, Shilpa Rao",Dance,Jab Tak Hai Jaan,9.4/10
Boss Title Track,"Anjjan, Meet Bros, Yo Yo Honey Singh",Dance,Boss,9.3/10
Tum Ko Dekha To Yeh Khayal Aya,"Chitra Singh, Jagjit Singh",Romantic,Saath Saath,9.2/10
Jaane Nahi Denge Tujhe,Sonu Nigam,Sad,3 Idiots,9.1/10
Tadap Tadap,"Dominique, K.K.",Sad,Hum Dil De Chuke Sanam,8.9/10
Senti Wali Mental,"Amit Trivedi, Arijit Singh, Neeti Mohan, Swanand Kirkire",Dance,Shaandaar,9.3/10
Sapna Jahan,"Neeti Mohan, Sonu Nigam",Sad,Brothers,9.7/10
Urvashi Urvashi,"A.R. Rahman, Noel James, Shankar Mahadevan",Dance,Hum Se Hai Muqabala,9.4/10
Tere Bina,"Arijit Singh, Priya Saraiya",Romantic,Haseena Parkar,8.9/10
Hoor,Atif Aslam,Sad,Hindi Medium,9.3/10
Chhoti Chhoti Raatein,"Anuradha Paudwal, Sonu Nigam",DanceRomantic,Tum Bin,8.8/10
Sanson Ki Zarurat Hai Jaise,Kumar Sanu,Romantic,Aashiqui,9.0/10
Zoobi Doobi,"Shreya Ghoshal, Sonu Nigam",DanceRomantic,3 Idiots,9.1/10
Mannat,"Keerthi Sagathia, Shreya Ghoshal, Sonu Nigam",Dance,Daawat e Ishq,9.3/10
Intezaar,Shreya Ghoshal,Sad,Tera Intezaar,9.2/10
Agar Tu Hota,Ankit Tiwari,Sad,Baaghi,9.5/10
Hai Dil,"Alka Yagnik, Kumar Sanu",Romantic,Dil Ka Rishta,8.8/10
Pardesiya,"Ehsaan Noorani, Hemant Brijwasi, Sahil Akhtar, Shankar Mahadevan, Shehnaz Akhtar",Sad,Soorma,9.7/10
Ishtehaar,"Dhvani Bhanushali, Rahat Fateh Ali Khan",Sad,Welcome To New York,9.4/10
Twist,Neeraj Shridhar,Dance,Love Aj Kal,9.2/10
You’re My Life,"Earl, Shaan, Shweta Pandit, Suzanne D'Mello",DanceRomantic,Partner,9.0/10
Mat Maari,"Kunal Ganjawala, Sunidhi Chauhan",Dance,R... Rajkumar,8.9/10
Mujhse Juda Hokar,"Lata Mangeshkar, S.P. Balasubrahmanyam",Sad,Hum Aapke Hain Koun,8.6/10
Second Hand Jawaani,"Miss Pooja, Nakkash Aziz, Neha Kakkar",Dance,Cocktail,9.1/10
Naina Re,"Himesh Reshammiya, Rahat Fateh Ali Khan, Shreya Ghoshal",Sad,Dangerous Ishq,9.0/10
Tere Naina,"Shafqat Amanat Ali, Shankar Ehsaan Loy",Romantic,My Name is Khan,9.6/10
Haathon Mein Thhe Haath,"Aditi Singh Sharma, Altamash Faridi, Arpita Mukherjee, Papon",Sad,Mubarakan,9.4/10
Gajanana,"Shreyas Puranik, Sukhwinder Singh",Devotional,Bajirao Mastani,9.3/10
Tum Mile,Neeraj Shridhar,Romantic,Tum Mile,9.5/10
Meri Khamoshi Hai,Ishan Mitra,Sad,Pari,9.6/10
Oh My Darling,"Alisha Chinai, Sonu Nigam",Dance,Mujhse Dosti Karoge!,9.1/10
Nainon Men Sapna,"Kishore Kumar, Lata Mangeshkar",Dance,Himmatwala,7.3/10
Tu Jo Hain,Ankit Tiwari,RomanticSad,Mr. X,9.5/10
Dheere Dheere Bol Koi Sun Na Le,"Lata Mangeshkar, Mukesh",Romantic,Gora Aur Kala,8.2/10
Mohenjo Daro,"A.R. Rahman, Arijit Singh, Bela Shende, Sanah Moidutty",Dance,Mohenjo Daro,9.0/10
Jai Jai Shiv Shankar,"Kishore Kumar, Lata Mangeshkar",Dance,Aap Ki Kasam,8.4/10
Ladki Kyon Na Jane Kyon,"Alka Yagnik, Shaan",Dance,Hum Tum,9.4/10
Drama Queen,"Shreya Ghoshal, Vishal Dadlani",Dance,Hasee Toh Phasee,9.5/10
Khaike Paan Banaras Wala,Kishore Kumar,Dance,Don,8.5/10
Tu Hi Haqeeqat,"Irshan Ashraf, Javed Ali, Shadaab Faridi",Romantic,Tum Mile,9.5/10
Tune Maari Entriyaan (Bangla Version),"Bappi Lahiri, Monali Thakur",Dance,Gunday,8.8/10
Yeh Kaisi Jagah,"Deepali Sathe, Zubeen Garg",Sad,Hamari Adhuri Kahani,9.5/10
Wada Karle Sajna Tere Bina,"Lata Mangeshkar, Mohammed Rafi",Romantic,Haath Ki Safai,8.7/10
Jhalla Wallah,Shreya Ghoshal,Dance,Ishaqzaade,9.1/10
Hamesha Tumko Chaha,"Kavita Krishnamurthy, Udit Narayan",Sad,Devdas,9.2/10
Mujhko Barsaat Bana Lo,Armaan Malik,Romantic,Junooniyat,9.3/10
Aaya Tere Dar Par,"Ahmed Hussain, Javed Hussain, Mohd Vakil, Mohd. Hussain",Devotional,Veer Zaara,9.3/10
Ho Nahi Sakta,Udit Narayan,Romantic,Diljale,8.7/10
Kaun Tujhe,Armaan Malik,Romantic,M.S. Dhoni-The Untold Story,9.6/10
Tere Liye,"Atif Aslam, Shreya Ghoshal",Dance,Prince,9.1/10
Tu Isaq Mera,"Meet Bros, Neha Kakkar",RomanticSensual,Hate Story 3,9.0/10
Shaam Shaandaar,Amit Trivedi,Dance,Shaandaar,9.3/10
Banjaara,Sukhwinder Singh,DanceRomantic,Ek Tha Tiger,9.1/10
Akkha India Janta Hai,Kumar Sanu,Romantic,Jaan Tere Naam,8.2/10
Tharki Chokro,Swaroop Khan,Dance,PK,8.6/10
Gale Lag Ja,"Banjyotsna, Javed Ali",DanceSensual,De Dana Dan,9.4/10
Aadat (Juda Hoke Bhi),Atif Aslam,Sad,Kalyug,9.3/10
Jane Kaise Kab Kahan Iqrar Ho Gaya,"Kishore Kumar, Lata Mangeshkar",Romantic,Shakti,8.9/10
Agar Tum Mil Jao,Shreya Ghoshal,Romantic,Zeher,8.9/10
Kaara Fankaara,"A.R. Rahman, Aaryan Dinesh Kanagaratnam, Ashima Mahajan, Hard Kaur, Kaly, Paroma Dasgupta, Shashaa Tirupati",Dance,Ok Jaanu,9.3/10
Chokra Jawaan,"Sunidhi Chauhan, Vishal Dadlani",Dance,Ishaqzaade,9.1/10
Didi Tera Devar Deewana,"Lata Mangeshkar, S.P. Balasubrahmanyam",Dance,Hum Aapke Hain Koun,7.9/10
Saiyan Re,"Mohammed Irfan, Palak Muchhal",Romantic,Nirdosh,9.7/10
Pal Pal Dil Ke Paas,Kishore Kumar,Romantic,Blackmail,8.8/10
Rail Gaddi,"Navraj Hans, Swati Sharrma",Dance,Tutak Tutak Tutiya,9.1/10
Ek Din Bik Jayega Mati Ke Mol,Mukesh,Dance,Dharam Karam,9.1/10
Main Koi Aisa Geet,Abhijeet,Dance,Yes Boss,9.4/10
Yeh Ishq Hai,Shreya Ghoshal,Dance,Jab We Met,9.4/10
Alizeh,"Alizeh Ash King, Arijit Singh, Shashwat Singh",Romantic,Ae Dil Hai Mushkil,9.7/10
Kaho Na Kaho,Amir Jamal,RomanticSensual,Murder,9.1/10
Hey Shona,"Shaan, Sunidhi Chauhan",DanceRomantic,Tara Rum Pum,9.3/10
Chalte Chalte,"Manohar Shetty, Preetha Mazumdar, Sonali Bhatawdekar, Udbhav",Dance,Mohabbatein,9.2/10
Iktara,"Amit Trivedi, Amitabh Bhattacharya, Kavita Seth",Romantic,Wake Up Sid,9.6/10
Aap Ki Nazron Ne Samjha,Lata Mangeshkar,Romantic,Anpadh,9.2/10
Tu Chahiye,Atif Aslam,Romantic,Bajrangi Bhaijaan,9.3/10
Ole Ole,Abhijeet,Dance,Ye Dillagi,9.1/10
Tutak Tutak Tutiya,"Kanika Kapoor, Malkit Singh, Sonu Sood",Dance,Tutak Tutak Tutiya,8.9/10
Meri Duniya Tu Hi Re,"Shaan, Shankar Mahadevan, Sonu Nigam",Dance,Heyy Babyy,9.0/10
Mujhko Yaad Sataye Teri,Himesh Reshammiya,Dance,Phir Hera Pheri,9.2/10
Jane Kahan Gaye Woh Din,Mukesh,Sad,Mera Naam Joker,8.8/10
Nonsense Ki Night,Mika Singh,Dance,Happy New Year,9.2/10
Daaru Desi,"Benny Dayal, Shalmali Kholgade",Dance,Cocktail,9.4/10
Fugly Fugly Kya Hai,Yo Yo Honey Singh,Dance,Fugly,9.4/10
Buddhu Sa Mann,"Amaal Mallik, Armaan Malik",Dance,Kapoor & Sons,9.4/10
Jiska Mujhe Tha Intezar,"Kishore Kumar, Lata Mangeshkar",Romantic,Don,8.2/10
Raat Ka Nasha,K. S. Chithra,Dance,Asoka,9.3/10
Zara Zara Touch Me,Monali Thakur,DanceSensual,Race,9.3/10
Wada Karo Nahi Chodoge,"Kishore Kumar, Lata Mangeshkar",Romantic,Aa Gale Lag Jaa,9.1/10
Sajde,"Arijit Singh, Gulzar, Nihira Joshi Deshpande",Romantic,Kill Dil,9.4/10
Khair Mangda,Atif Aslam,Sad,A Flying Jatt,9.3/10
Tere Naal Ishqa,Kailash Kher,Sad,Shivaay,9.4/10
Na Na Na Re,"Daler Mehndi, Sudesh Bhonsle",Dance,Mrityudaata,8.8/10
Tum Aa Gaye Ho Noor Aa Gaya Hai,"Kishore Kumar, Lata Mangeshkar",Romantic,Aandhi,9.0/10
Mujeh Naulakha Mangade,"Bappi Lahiri, Kishore Kumar",Dance,Sharaabi,7.6/10
Ainvayi Ainvayi,"Salim Merchant, Sunidhi Chauhan",Dance,Band Baaja Baaraat,9.3/10
Awaaz Deke,"Lata Mangeshkar, Mohammed Rafi",Romantic,Professor,8.3/10
Tum Tak,"A.R. Rahman, A.V. Pooja, Javed Ali, Kirti Sagathia",DanceRomantic,Raanjhanaa,9.4/10
Chitta Ve,"Babu Haabi, Bhanu Pratap, Shahid Mallya",Dance,Udta Punjab,8.9/10
Get Up Jawani,"Badshah, Yo Yo Honey Singh",Dance,International Villager,9.4/10
Ji Huzoori,"Deepali, Mithoon",Romantic,Ki & Ka,9.3/10
Dhingana,Mikha Singh,Dance,Raees,9.3/10
Sapna,Arijit Singh,Sad,Parmanu The Story of Pokhran,9.7/10
Bandeyaa,Jubin Nautiyal,Sad,Jazbaa,9.5/10
Maula Mere Lele Meri Jaan,"Krishna Beura, Salim Merchant",DevotionalSad,Chak De India,9.6/10
Rang De Basanti,"Daler Mehndi, K. S. Chithra",DancePatriotic,Rang De Basanti,9.4/10
Kundali,"Anita Gandharva, Meenal Jain, Meghna Mishra, Rani Kaur, Vaishnavi Mishra, Yashika Sikka, Yashita Sharma",Dance,Manmarziyaan,9.2/10
Shuru Kar,"Amit Mishra, Neha Bhasin, Rochak Kohli",Dance,Aiyaary,9.3/10
Tooh,"Mamta Sharma, Mika Singh, Shekhar, Vishal",Dance,Gori Tere Pyaar Mein,9.3/10
Main Tera Dhadkan Teri,"Hard Kaur, K.K., Sunidhi Chauhan",Dance,Ajab Prem Ki Ghazab Kahani,9.5/10
Le Gayi,Asha Bhosle,Dance,Dil Toh Pagal Hai,9.3/10
Le Gayi,Asha Bhosle,Dance,Dil To Pagal Hai,9.3/10
Aankhein Khuli,"Ishaan, Lata Mangeshkar, Manohar Shetty, Shweta Pandit, Sonali Bhatawdekar, Udbhav, Udit Narayan",Dance,Mohabbatein,9.2/10
Rang Barse,Amitabh Bachchan,Dance,Silsila,8.2/10
Gawah Hai Chand Tare,"Alka Yagnik, Kumar Sanu",Romantic,Damini,8.5/10
Aisa Kyun Maa,Sunidhi Chauhan,Sad,Neerja,9.7/10
Tu Hi Re,Hariharan,Romantic,,9.4/10
Mera Mann Kehne Laga,Falak Shabir,Dance,Nautanki Saala,9.6/10
Shut Up & Bounce,"Sunidhi Chauhan, Vishal Dadlani",Romantic,Dostana,9.2/10
One Two Three Four,"Hamsika Iyer, Vishal Dadlani",Dance,Chennai Express,9.3/10
Haseeno Ko Aate Hain,"Alka Yagnik, Udit Narayan",Dance,Lahoo Ke Do Rang,8.3/10
Kasam Khake Kaho,"Alka Yagnik, Kumar Sanu",Romantic,Dil Hai Tumhaara,8.6/10
Dil Ka Rishta,"Alka Yagnik, Kumar Sanu, Udit Narayan",Romantic,Dil Ka Rishta,9.0/10
Sajdaa,"Rahat Fateh Ali Khan, Richa Sharma, Shankar Mahadevan",Romantic,My Name is Khan,9.6/10
Mujhe Tumse Mohabbat Hai,"Shaan, Shreya Ghoshal",DanceRomantic,Tumsa Nahin Dekha,8.7/10
Tujhe Dekha To,"Kumar Sanu, Lata Mangeshkar",Romantic,Dilwale Dulhania Le Jayenge,9.1/10
Watan Wallon Watan Na,"Alka Yagnik, Shaan",Patriotic,Indian,9.1/10
Pani Da Rang,Ayushman Khurana,Romance,Vicky Donor,9.5/10
Tum Itna Jo Muskura Rahe Ho,Jagjit Singh,Romantic,Arth,9.2/10
Ham The Jinke Sahare,Lata Mangeshkar,Sad,Safar,8.8/10
Titli,"Chinmayi Sripaada, Gopi Sunder",Romantic,Chennai Express,9.5/10
Laung Da Lashkara,"Hard Kaur, Mahalakshmi Iyer",Dance,Patiala House,9.4/10
Maa Ka Phone,Priya Panchal,Dance,Khoobsurat,9.0/10
Zindagi Ka Safar,Kishore Kumar,Sad,Safar,9.1/10
O Saathiya,"Arko, Armaan Malik, Prakriti Kakkar",Romantic,Sweetiee Weds NRI,9.4/10
Kasam Ki Kasam,"K. S. Chithra, Shaan",RomanticSad,Main Prem Ki Diwani Hoon,9.2/10
Gun Gun Guna,"Sunidhi Chauhan, Udit Narayan",Dance,Agneepath,9.4/10
Jeeta Hoon Jiske Liye,"Alka Yagnik, Kumar Sanu",Romantic,Dilwale,7.8/10
Aye Khuda (Duet),"Rahat Fateh Ali Khan, Shreya Ghoshal",Sad,Rocky Handsome,9.5/10
Dreamum Wakeupum,Soumya Rai,Dance,Aiyyaa,9.1/10
Balma Tum Balma Ho Mere Khali,Kavita Krishnamurthy,Dance,Nagina,7.4/10
Ishq Bina,"A.R. Rahman, Anuradha Sriram, Sonu Nigam, Sujatha Mohan",Romantic,Taal,9.2/10
Ab Tere Bin,Kumar Sanu,Sad,Aashiqui,9.0/10
Ankhiyaan,Kanika Kapoor,Sad,Do Lafzon Ki Kahani,9.3/10
Teri Yaad,Ghulam Ali,Sad,Bewafaa,8.6/10
Jalwa,"Earl, Wajid",Dance,Wanted,8.9/10
Judaai,Falak Shabir,Sad,I Love New Year,9.5/10
Aayat,"Altamash Faridi, Arijit Singh, Farhan Sabri, Mujtaba Aziz Naza, Shadab",Sad,Bajirao Mastani,9.5/10
Dil Dooba,"Shreya Ghoshal, Sonu Nigam",Dance,Khakee,9.6/10
Pyaar Deewana Hota Hai,Kishore Kumar,Romantic,Kati Patang,9.1/10
Nazrein Mili Dil Dhadka,"Alka Yagnik, Udit Narayan",Dance,Raja,9.1/10
Po Po,"Aaman Trikha, Himesh Reshammiya, Vikas Bhalla",Dance,Son of Sardaar,7.7/10
Son Of Sardaar,"Aaman Trikha, Himesh Reshammiya",Dance,Son of Sardaar,7.7/10
Roobaroo,"A.R. Rahman, Naresh Iyer",Dance,Rang De Basanti,9.7/10
Khush Rahe Tu Sada,Mohammed Rafi,Sad,Khilona,8.3/10
Chaar Kadam,"Shaan, Shreya Ghoshal",Romantic,PK,9.1/10
Are Re Are,"Lata Mangeshkar, Udit Narayan",Dance,Dil To Pagal Hai,9.2/10
Shiddat,Armaan Malik,Sad,Sweetiee Weds NRI,9.4/10
Dil Kehta Hai,"Alka Yagnik, Kumar Sanu",Sad,Akele Hum Akele Tum,9.3/10
Dilnashin Dilnashin,K.K.,Dance,Aashiq Banaya Aapne,9.0/10
Sawaar Loon,Monali Thakur,Dance,Lootera,9.2/10
Zehnaseeb,"Chinmayi Sripaada, Shekhar Ravjiani",Dance,Hasee Toh Phasee,9.6/10
